id	title	genres	original_language	overview	popularity	production_companies	release_date	budget	revenue	runtime	status	tagline	vote_average	vote_count	credits	keywords	poster_path	backdrop_path	recommendations
437342	The First Omen	Horror	en	When a young American woman is sent to Rome to begin a life of service to the church she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.	359.897	Phantom Four-20th Century Studios	2024-04-03	0.0	0.0	120.0	Released	Create something to fear.	7.4	8.0	Nell Tiger Free-Ralph Ineson-Sônia Braga-Tawfeek Barhom-María Caballero-Charles Dance-Bill Nighy-Nicole Sorace-Ishtar Currie Wilson-Andrea Arcangeli-Guido Quaglione-Dora Romano-Michelangelo Dalisi-Anton Alexander-Mia McGovern Zaini-Eugenia Delbue-Charita Cecamore-Federica Santoro-Donatella Bartoli-Marial Bajma-Riva-Mario Opinato-Rachel Hurd-Wood-Nicola Garofalo-Marcello Paesano-Giacomo Henri Dossi-Sylvia Panacione-Daniela Barra-Alessandra Fallucchi-Milena Božić-Dobrila Stojnic-Alberto Tierrez-Ljiljana Žunić-Eva Ras-Miodrag Rakočević-James Swanton-Andjelko Pavlović-Mina Knežević-Ema Nastić-Mateja Nesovic-Lana Stanojević-Borislav Bogosavac-Dejan Dragosavac-Darko Corovic-Strahinja Despic-Amy Clayton-Amalia Strand-Nigel Dyson	prequel	/hil2ResSCwP95JweZVJsZ5CbZdc.jpg	/mIBG74mhGEJnBubhYLkCtvplcNr.jpg	10331-545609-539-475557-27205-103-841-680-28794-157336-496243-27064-346698-530915-872585-9552-577922-46655-15762-195276-31411
673593	Mean Girls	Comedy	en	New student Cady Heron is welcomed into the top of the social food chain by the elite group of popular girls called ‘The Plastics’ ruled by the conniving queen bee Regina George and her minions Gretchen and Karen. However when Cady makes the major misstep of falling for Regina’s ex-boyfriend Aaron Samuels she finds herself prey in Regina’s crosshairs. As Cady sets to take down the group’s apex predator with the help of her outcast friends Janis and Damian she must learn how to stay true to herself while navigating the most cutthroat jungle of all: high school.	270.946	Little Stranger-Broadway Video-Paramount	2024-01-10	36000000.0	0.0	113.0	Released	Plastic is forever.	6.855	31.0	Angourie Rice-Reneé Rapp-Auli'i Cravalho-Jaquel Spivey-Avantika-Bebe Wood-Christopher Briney-Jenna Fischer-Busy Philipps-Tina Fey-Tim Meadows-Lindsay Lohan-Jon Hamm-Ashley Park-Connor Ratliff-Mahi Alam-John El-Jor-Brian Altemus-Megan Thee Stallion-Ben Wang-Alexis Frias-Isabella Bria Lopez-Morgen McKynzie-Veronica Taylor-Stephanie Mincone-Gabriella Cila-Jordan Gallimore-Ari Notartomaso-Camille Umoff-Kaylee Kaleinani-Allison Winn-Ben Heineman-Fernell Hogan-Calidore Robinson-Sofia Dobrushin-Grant Harrison Mateo-Amann Iqbal-Nahscha-Gage Roark-Soona Lee-Tolley-Janna Graham-Matilde Heckler-Francesca Castro-Nuri Park-Grace Slear-Izzy Bank-Kayla LaVine-James Henri Jones-Garid Garcia-Jake Schwencke-Ellena Eshraghi-Kelsie Daniels-Elizabeth Witek-Alexandra Witek-Brooke Johnson-Meredith Dunbar-Hank Pekarsky-Sri-Veronica Merrell-Burriss-Vanessa Merrell-Jordi-Énola Bédard-Nia Sioux-Emely Moreno-Jazz Jennings-Pierson Wodzynski-Mars Avila-Alan Chow-Chris Olsen-Bailey B. Angelski-Joshua M. Baer-Caitlin M. Beecham-Samantha R. Borsari-Briannon E. Bowman-Ian A. Boyce-Daniela Cassano-Danielle K. Catalano-Ismael Chino-Gianna M. Cologna-Jason L. DeGroff-Kaylin E. DeGroff-Joshua P. Doody-Christiana J. Doyle-Calysta R. Eachus-Kasey L. Ericson-Timothy S. Fletcher-Orlando Galarza-Cameron T. Garde-Sean G. Haight-Ryan J. Horgan-Teresa Kissel-Christopher J. Lucey-Megan A. Macneil-Malachi I. McLean-Colin J. McTernan-Julien F. Miller-Lauren M. Molfetta-Meryem Oldro-Connor D. Paul-Victoria G. Russo-Olivia C. Tona-Anthony M. Varbaro-Nico A. Varone-Thomas R. Wilson	high school-musical-female friendship-bullying-based on play or musical-teenage girl-homeschooling-clique-teen drama-teenage life-segregation-teen romance-high school romance	/fbbj3viSUDEGT1fFFMNpHP1iUjw.jpg	/m3s0jyPGtluJ48kD0fUiPjXrRhr.jpg	
937287	Challengers	Drama-Romance	en	Tennis player turned coach Tashi has taken her husband Art and transformed him into a world-famous Grand Slam champion. To jolt him out of his recent losing streak she signs him up for a "Challenger" event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi's former boyfriend.	246.098	Pascal Pictures-Why Are You Acting? Productions-Frenesy Film-Metro-Goldwyn-Mayer	2024-04-18	55000000.0	68036634.0	132.0	Released	Her game. Her rules.	7.421	476.0	Zendaya-Josh O'Connor-Mike Faist-Darnell Appling-Bryan Doo-Shane T Harris-Nada Despotovich-Joan Mcshane-Chris Fowler-Mary Joe Fernández-A.J. Lister-Connor Aulson-Doria Bramante-Christine Dye-James Sylva-Kenneth A. Osherow-Kevin Collins-Burgess Byrd-Jason Tong-Hudson Rivera-Noah Eisenberg-Emma Davis-Naheem Garcia-Alex Bancila-Jake Jensen-Konrad Ryba-Hailey Gates-Andrew Rogers-Beverly Kristenson Helton-Brad Gilbert-Sam Xu-Caleb Schneider-Sam Arnold	hotel room-infidelity-husband wife relationship-love triangle-sports-tennis-competition-tennis racket-eroticism-sauna-tennis player-rivalry-interracial marriage-polyamory-tennis court-ex-boyfriend ex-girlfriend relationship-tennis ball-knee injury-prodigy-tennis pro-2000s-2010s-lgbt interest-female coach-psychosexual-gay kiss-sports drama-power dynamics-ex friend-intense-new york	/H6vke7zGiuLsz4v4RPeReb9rsv.jpg	/72clA3Tlo9hGY815pubweHOxVAR.jpg	746036-998846-929590-1111873-948549-976584-843527-938614-102001-1039773-989474-783110-3472-1007074-653346-48764-36351-12172-324803-1001089
748783	The Garfield Movie	Animation-Comedy-Family	en	Garfield the world-famous Monday-hating lasagna-loving indoor cat is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious high-stakes heist.	236.481	Alcon Entertainment-Prime Focus-DNEG Animation-Columbia Pictures-Paws Inc.-One Cool Film Production-Wayfarer Studios	2024-04-30	0.0	0.0	101.0	Released	Indoor cat. Outdoor adventure.	3.25	2.0	Chris Pratt-Samuel L. Jackson-Harvey Guillén-Nicholas Hoult-Hannah Waddingham-Brett Goldstein-Bowen Yang-Ving Rhames-Cecily Strong-Janelle James-Snoop Dogg-Dev Joshi-Lynsey Murrell-Alicia Grace Turrell-Luke Cinque-White	friendship-cat-villain-based on comic-lasagne-computer animation-based on cartoon-food-dog-father son relationship-adaptation	/zK2sFxZcelHJRPVr242rxy5VK4T.jpg	/v5XyXZe8FADw8iHupB4L7QOAwH9.jpg	
786892	Furiosa: A Mad Max Saga	Science Fiction-Action-Adventure	en	As the world falls young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance and Furiosa must survive many trials as she puts together the means to find her way home.	180.587	Warner Bros. Pictures-Village Roadshow Pictures-Kennedy Miller Mitchell	2024-05-22	150000000.0	0.0	148.0	Released	Fury is born.	0.0	0.0	Anya Taylor-Joy-Chris Hemsworth-Tom Burke-Lachy Hulme-Angus Sampson-Nathan Jones-Quaden Bayles-Daniel Webber-Goran D. Kleut-CJ. Bloomfield-Alyla Browne-Charlee Fraser-Maleeka Gasbarri-Nat Buchanan-David Collins-Ian Roberts-Spencer Connelly-Matuse Paz-Darcy Bryce-Rahel Romahn-Robert Jones-Alex Time-Xanthia Marinelli-Yeye Zhou-Florence Mezzara-John Howard	post-apocalyptic future-prequel-spin off	/iADOJ8Zymht2JPMoy3R7xceZprc.jpg	/zj13HSGkT7EIRwUKnXrurgkQ1qc.jpg	
948549	Love Lies Bleeding	Crime-Romance-Thriller	en	Reclusive gym manager Lou falls hard for Jackie an ambitious bodybuilder headed through town to Las Vegas in pursuit of her dream. But their love ignites violence pulling them deep into the web of Lou’s criminal family.	173.866	Film4 Productions-Escape Plan-A24-Lobo Films	2024-03-08	0.0	8770948.0	104.0	Released	Revenge gets ripped.	7.1	79.0	Kristen Stewart-Katy O'Brian-Ed Harris-Dave Franco-Jena Malone-Anna Baryshnikov-Orion Carrington-Eldon Jones-Catherine Haun-Matthew Blood-Smyth-Keith Jardine-Jerry G. Angelo-Tait Fletcher-Jamie Javier Guerreo-Roger Ivens-Kim S. Monti-David DeLao-Mikandrew-Hilary Fleming-Lontrell Anderson	homicide-blackmail-new mexico-eroticism-bisexuality-american dream-addiction-bodybuilder-steroids-murder-dirty cop-female protagonist-las vegas-brutality-crime family-gym-lgbt-estranged father-fitness-woman director-albuquerque new mexico-neo-noir-female bodybuilder-1980s-abusive husband-shooting range-father daughter relationship-lesbian-federal bureau of investigation-body horror	/rKC5HifAZxm9NEQtvBuXBjQQGgZ.jpg	/oMiKHO3H5RixfLsiU5Vumhlp5sj.jpg	992385-881415-936385-674710-16857-852247-997162-10859-855263-547017-967847-573730-683328-1041613-1050035-396461-923939-976893-1022796-9880
866398	The Beekeeper	Action-Thriller	en	One man’s campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.	168.439	Miramax-Cedar Park Entertainment	2024-01-11	0.0	0.0	105.0	Released	Expose the corruption. Protect the hive.	8.8	4.0	Jason Statham-Jeremy Irons-Emmy Raver-Lampman-Bobby Naderi-Josh Hutcherson-Minnie Driver-Enzo Cilenti-Dan Li-Taylor James-Adam Basil-Reza Diako-Phylicia Rashād-Jemma Redgrave		/A7EByudX0eOzlkQ2FIbogzyazm2.jpg	/4MCKNAc6AbWjEsM2h9Xc29owo4z.jpg	
560016	Monkey Man	Action-Thriller	en	Kid an anonymous young man who ekes out a meager living in an underground fight club where night after night wearing a gorilla mask he is beaten bloody by more popular fighters for cash. After years of suppressed rage Kid discovers a way to infiltrate the enclave of the city’s sinister elite. As his childhood trauma boils over his mysteriously scarred hands unleash an explosive campaign of retribution to settle the score with the men who took everything from him.	158.879	Thunder Road-Bron Studios-Monkeypaw Productions-Minor Realm-Creative Wealth Media Finance-WME Independent-S'YA Concept	2024-04-03	10000000.0	12000000.0	121.0	Released	One small ember can burn down everything.	7.6	38.0	Dev Patel-Sikandar Kher-Pitobash-Sobhita Dhulipala-Vipin Sharma-Sharlto Copley-Ashwini Kalsekar-Jatin Malik-Adithi Kalkunte-Makrand Deshpande-Brahim Achabbakhe-Zakir Hussain	complex-indian-revenge thriller-action thriller-powerful	/b4fn3VIdVTT3SX0rFMNFbl5xuvg.jpg	/dvpzY91fvfcWSYgb0Xlan2NNLLU.jpg	29787-292125-325534-790409-586032-795811-923344-574284-729120-817451-701121-659983-680734-945675-1098160-1037644-833326-28794-682152-1039960
639720	IF	Comedy-Fantasy-Family	en	A girl discovers she can see everyone's imaginary friends and embarks on a magical adventure to reconnect forgotten IFs with their kids.	148.308	Paramount-Sunday Night-Maximum Effort	2024-05-08	70000000.0	0.0	104.0	Released	A story you have to believe to see.	8.5	2.0	Ryan Reynolds-John Krasinski-Cailey Fleming-Phoebe Waller-Bridge-Louis Gossett Jr.-Steve Carell-Fiona Shaw-Bobby Moynihan-Alan Kim-Matt Damon-Emily Blunt-Vince Vaughn-Sam Rockwell-Maya Rudolph-Sebastian Maniscalco-Richard Jenkins-Christopher Meloni-Awkwafina-Jon Stewart-Liza Colón-Zayas-Catharine Daddario-Matthew Rhys-Keegan-Michael Key-Bradley Cooper-George Clooney-Amy Schumer-Blake Lively	friendship-imaginary friend-imaginary-live action and animation-imagination	/kLOopsjpSX1Wb1h8Vg57t7YEwD6.jpg	/vpWVeIMNi0Np5shuKFE3QkneiTt.jpg	
634492	Madame Web	Science Fiction-Action-Adventure	en	Forced to confront revelations about her past paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.	147.815	Columbia Pictures-di Bonaventura Pictures	2024-02-14	0.0	0.0	116.0	Released	Her web connects them all.	9.0	4.0	Dakota Johnson-Sydney Sweeney-Isabela Merced-Celeste O'Connor-Tahar Rahim-Mike Epps-Emma Roberts-Adam Scott-Zosia Mamet-José María Yázpik-Kerry Bishé-Josh Drennen	new york city-superhero-spider-based on comic-super power-paramedic-manhattan new york city-clairvoyant-web-origin story-2000s-vision of the future-female superhero	/rULWuutDcN5NvtiZi4FRPzRYWSh.jpg	/rx6FXL5Pu2FQC3HrowNQrdqojnM.jpg	
519182	Despicable Me 4	Animation-Family-Comedy-Action-Science Fiction	en	Gru and Lucy and their girls — Margo Edith and Agnes — welcome a new member to the Gru family Gru Jr. who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina and the family is forced to go on the run.	137.312	Illumination-Universal Pictures	2024-06-27	0.0	99.0	88.0	Post Production	Things just got a little more despicable.	0.0	0.0	Steve Carell-Kristen Wiig-Will Ferrell-Sofía Vergara-Joey King-Stephen Colbert-Chloe Fineman-Miranda Cosgrove-Dana Gaier-Madison Polan-Pierre Coffin-Steve Coogan-Chris Renaud	superhero-sequel-illumination-minion	/7Zxzf5CkEQHJHbi2IR10D9WmKJF.jpg	/ycCj6Ssuu2IdM23AYR7B8nbxQPA.jpg	
